Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points
"Beirl, Luke ",USA,1,16,16,01:04:09,05:02:26,03:12:11,09:25:54,5000
"Eanes, Francis ",USA,2,19,19,01:03:26,05:19:09,03:02:50,09:35:02,4890
"Dyer, Mitchell ",USA,3,23,23,00:54:58,05:26:00,03:18:38,09:50:26,4705
"Lambert, Brian ",USA,4,26,26,01:04:28,05:18:41,03:20:37,09:52:02,4686
"Pollema, Alex ",USA,5,31,32,01:02:53,05:15:18,03:32:27,09:58:01,4614
"Ansbaugh, Nathan ",USA,6,32,33,01:01:45,05:25:34,03:22:55,09:58:53,4604
"Petermann, Ted ",USA,7,33,34,01:06:48,05:25:09,03:19:51,10:00:10,4588
"Sorenson, Erik ",USA,8,35,36,01:19:28,05:18:40,03:14:40,10:02:02,4566
"Hinse, Guillaume ",CAN,9,42,43,01:04:44,05:35:16,03:19:48,10:09:47,4473
"Coil, Nicholas ",USA,10,43,44,01:10:51,05:19:46,03:28:19,10:10:10,4468
"Brandes, Steven ",USA,11,46,47,01:05:58,05:22:20,03:32:01,10:11:21,4454
"Leschke, Joe ",USA,12,58,59,01:08:10,05:32:37,03:25:07,10:17:20,4382
"Kiser, Kevin ",USA,13,63,64,01:21:05,05:26:09,03:25:00,10:23:23,4310
"Otte, Andrew ",USA,14,64,65,01:08:02,05:26:18,03:39:36,10:24:54,4292
"Junemann, Marko ",DEU,15,71,72,01:14:13,05:40:02,03:24:18,10:27:22,4262
"Smith, Scott ",USA,16,76,77,01:07:16,05:27:20,03:46:46,10:31:01,4218
"Kirk, Spencer ",USA,17,77,78,01:09:32,05:45:54,03:22:01,10:31:04,4218
"Mcculloch, Nicholas ",USA,18,79,80,01:06:38,05:42:50,03:32:45,10:33:07,4193
"Koppel, David ",USA,19,82,83,01:11:19,05:37:42,03:39:34,10:38:15,4131
"Tatum, Matthew ",USA,20,84,85,01:06:53,05:29:42,03:54:25,10:39:40,4114
"Mazzonetto, Gianluca ",USA,21,93,96,01:05:18,05:50:19,03:31:40,10:43:13,4072
"Kremer, Andrew ",USA,22,96,100,01:13:52,05:29:01,03:52:29,10:44:40,4054
"Maher, Dustin ",USA,23,102,107,01:06:03,05:22:10,04:13:04,10:50:05,3989
"Eisenberg, Daniel ",USA,24,103,109,01:15:05,05:31:26,03:52:42,10:51:18,3975
"Ekberg, Michael ",USA,25,112,119,01:06:06,05:38:38,04:02:12,10:55:29,3925
"Ciric, Nenad ",SRB,26,114,121,01:02:43,05:55:20,03:46:31,10:56:19,3915
"Boberschmidt, Joey ",USA,27,118,127,01:08:38,05:56:10,03:36:35,10:57:56,3895
"Jacka, Jonathan ",ZAF,28,119,128,01:04:13,05:57:48,03:44:29,10:58:29,3889
"Veenstra, Jesse ",USA,29,127,136,01:13:46,05:58:43,03:36:56,11:01:25,3853
"Tomasek, Benjamin ",USA,30,136,145,01:03:24,05:57:37,03:52:15,11:06:08,3797
"Joda, Andrew ",USA,31,138,147,01:27:34,05:43:14,03:42:46,11:06:21,3794
"Horner, Scott ",USA,32,144,154,01:04:18,05:47:47,03:59:02,11:07:45,3777
"Hohensee, Brian ",USA,33,149,159,01:06:21,05:47:21,04:06:49,11:10:01,3750
"Subbotin, Vladimir ",MDA,34,152,162,01:19:24,05:44:48,03:54:17,11:10:16,3747
"Schemmel, Scott ",USA,35,160,172,01:04:06,05:22:10,04:38:11,11:12:55,3715
"Sill, Kai ",USA,36,164,176,01:13:50,06:08:03,03:34:57,11:14:36,3695
"Engle, Brandon ",USA,37,165,177,01:10:57,05:42:58,04:11:43,11:15:04,3690
"Smith, Cory ",CAN,38,173,185,01:06:40,05:50:58,04:09:31,11:18:10,3652
"Douglas, Lance ",USA,39,185,199,01:08:20,05:26:07,04:36:42,11:22:58,3595
"Deau, Mike ",USA,40,186,201,01:13:35,05:53:29,03:57:52,11:23:11,3592
"Bancroft, Chris ",USA,41,192,207,01:10:51,06:05:05,03:57:22,11:24:28,3577
"Sandberg, Alex ",USA,42,193,208,01:17:04,06:02:34,03:52:10,11:24:32,3576
"Quinn, Brian ",USA,43,194,209,01:08:24,06:01:58,03:55:32,11:24:34,3576
"Humberston, Ben ",USA,44,195,210,01:00:54,06:09:31,04:01:11,11:24:43,3574
"Duckworth, Rory ",USA,45,196,211,01:06:51,05:07:58,05:01:34,11:24:54,3572
"Neumann, Kevin ",USA,46,197,213,01:07:07,05:48:15,04:14:20,11:25:18,3567
"Acker, Dustin ",USA,47,199,215,01:08:19,05:55:15,04:10:50,11:25:24,3566
"Baruch, Mark ",USA,48,207,223,01:02:52,05:49:54,04:23:40,11:27:04,3546
"Landers, Daniel ",BRA,49,221,239,01:17:26,05:57:10,04:03:08,11:32:29,3481
"Kadous, Scott ",USA,50,235,256,01:24:01,05:39:03,04:21:45,11:37:51,3416
"Connelly, Sean ",USA,51,241,262,01:03:47,06:16:57,04:01:50,11:38:44,3406
"Davis, Austin ",USA,52,242,263,01:15:07,05:52:27,04:17:41,11:39:03,3402
"Schwartz, Christopher ",USA,53,243,264,01:03:21,06:06:15,04:14:31,11:39:16,3399
"Pimentel, Daniel ",MEX,54,244,265,01:11:22,06:05:25,04:10:34,11:39:20,3398
"Meives, Steve ",USA,55,251,273,01:26:34,06:05:15,03:53:59,11:42:29,3361
"Hamm, Nathan ",USA,56,257,279,01:29:22,06:07:40,03:39:53,11:43:55,3343
"Beahn, Brian ",USA,57,268,292,00:59:25,06:10:39,04:27:07,11:46:48,3309
"Braun, Andrew ",USA,58,279,305,01:12:29,06:17:18,03:59:23,11:50:13,3268
"Peed, Shane ",USA,59,288,315,01:27:48,05:51:35,04:22:34,11:52:49,3237
"Monahan, Eric ",USA,60,293,321,01:21:45,06:22:57,03:50:34,11:53:16,3231
"Lapiere, Simon ",FRA,61,294,322,01:09:39,06:13:03,04:18:30,11:53:26,3229
"Viswanatha, Prashantha ",IND,62,297,326,01:25:40,05:55:49,04:09:27,11:54:06,3221
"Arnason, Alex ",USA,63,313,344,01:13:05,06:15:10,04:15:27,11:56:35,3191
"Jenema, Tyler ",USA,64,315,346,01:18:50,06:22:27,03:58:32,11:56:58,3187
"Janicki, Mitchell ",USA,65,323,354,01:15:34,06:10:43,04:20:46,11:57:57,3175
"Barnes, Eddie ",USA,66,325,357,01:21:26,06:14:40,03:58:42,11:58:18,3171
"Rossing, Adam ",USA,67,327,359,01:28:48,05:51:55,04:18:55,11:58:38,3167
"Bocock, Daniel ",USA,68,342,379,01:23:12,06:08:23,04:10:37,12:02:38,3119
"Simpson, Garett ",USA,69,347,384,01:10:34,06:11:14,04:24:24,12:03:37,3107
"Pittner-Smith, Drew ",USA,70,352,392,01:28:50,06:33:06,03:47:46,12:04:34,3096
"Barbera, Andrew ",USA,71,353,393,01:16:58,06:25:56,04:03:58,12:04:40,3094
"Lueth, Chris ",USA,72,368,409,01:25:25,06:03:43,04:09:58,12:07:13,3064
"Garske, David ",USA,73,377,419,01:10:11,06:17:40,04:28:42,12:09:37,3035
"Berger, Ben ",USA,74,381,425,01:19:19,06:32:40,04:02:33,12:10:36,3023
"Olson, Jeremy ",USA,75,388,432,01:27:57,06:29:06,03:57:34,12:12:20,3002
"Conzemius, Michael ",USA,76,393,438,01:18:51,06:20:45,04:15:34,12:13:18,2991
"Prefontaine, Zachary ",USA,77,402,448,01:15:10,06:29:37,04:13:09,12:14:49,2973
"Magsamen, Brandon ",USA,78,405,451,01:35:39,06:03:38,04:15:34,12:15:10,2968
"Acuna Gonzalez, Luis ",CRI,79,423,473,01:10:55,05:50:51,05:03:43,12:18:14,2932
"Plecker, Adam ",USA,80,442,494,01:18:56,06:36:51,04:11:17,12:21:22,2894
"Gant, Matt ",USA,81,443,495,01:14:01,06:45:14,04:03:54,12:21:26,2893
"Mcgrath, Doug ",USA,82,454,508,01:05:18,06:30:22,04:34:15,12:23:13,2872
"Cleven, Brian ",USA,83,470,525,01:30:21,05:47:55,04:50:30,12:27:21,2822
"Vetter, Matthew ",USA,84,477,532,01:13:57,06:32:57,04:20:12,12:28:18,2811
"Buchanan, Jarod ",USA,85,490,554,01:13:13,06:36:51,04:17:50,12:31:08,2777
"Parker, Brendan ",USA,86,493,559,01:13:12,06:25:13,04:31:22,12:31:32,2772
"Bezares, Hector ",USA,87,503,571,01:23:16,06:22:49,04:35:01,12:33:40,2746
"Stegemeyer, Torin ",USA,88,509,578,01:17:57,06:00:36,04:48:15,12:34:52,2732
"Perretta, Daniel ",USA,89,510,580,01:29:44,06:24:36,04:23:58,12:35:01,2730
"Gawel, Christopher ",USA,90,514,587,01:19:46,06:42:04,04:18:42,12:36:36,2711
"Brunner, Brad ",USA,91,521,596,01:29:16,07:03:04,03:44:53,12:37:40,2698
"Schlueter, Steven ",USA,92,526,603,01:27:43,06:41:22,04:14:39,12:39:04,2682
"Cray, Trevor ",USA,93,536,614,01:09:40,06:18:05,04:56:18,12:40:44,2662
"Baldwin, Alex ",USA,94,537,615,01:19:07,06:06:56,04:53:45,12:40:45,2661
"Schmoyer, David ",USA,95,545,626,01:15:51,06:38:43,04:29:54,12:41:52,2648
"Johnson, Jacob ",USA,96,547,628,01:03:18,06:38:24,04:33:18,12:42:08,2645
"Mcginnis, John ",USA,97,554,639,01:06:07,07:01:42,04:17:08,12:43:16,2631
"Bremer, Andrew ",USA,98,557,642,01:20:12,06:52:09,04:07:45,12:43:31,2628
"Greenwood, Tyler ",USA,99,562,650,01:19:43,06:16:14,04:52:47,12:44:30,2616
"Newman, Joshua ",USA,100,573,664,01:15:44,06:31:22,04:44:00,12:46:06,2597
"Perez, Edenn ",USA,101,579,672,01:31:22,06:44:32,04:10:56,12:46:56,2587
"Wentzel, Tj ",USA,102,581,675,01:18:11,06:15:22,04:55:18,12:47:35,2579
"Schultz, Alexander ",USA,103,589,684,01:20:58,06:47:05,04:16:41,12:48:18,2571
"Kovach, Bryan ",USA,104,594,691,01:15:17,06:44:28,04:26:33,12:48:37,2567
"Soulema, Michael ",USA,105,597,695,01:22:06,06:34:00,04:29:13,12:49:10,2560
"Goplen, Kevin ",USA,106,605,705,01:19:57,06:47:18,04:24:57,12:50:33,2544
